Canada;CA;142866;9248
China;CN;90294;4736
Denmark;DK;21836;635
Germany;DE;269048;9376
Finland;FI;8799;339
India;IN;5118253;83198
Japan;JP;77488;1490
Norway;NO;12644;266
Russian;RU;1081152;18996
Sweden;SE;87885;5864
USA;US;6674411;197633
